Time;;ID (hex);Data (hex)
15:35:54.892;;18FEF704;FF FF FF FF 0F 02 FF FF
15:35:54.895;;18FFF003;00 00 00 00 00 00 00 00
15:35:54.896;;18FFF504;FF 82 00 FF 00 06 FF 01
15:35:54.900;;18FFF103;04 00 00 00 00 00 00 FF
15:35:54.905;;18FEF803;FF FF FF FF C0 27 FF FF
15:35:54.908;;18FF0104;00 10 00 35 00 00 00 00
15:35:54.910;;18F00400;FF FF FF FF FF FF FF FF
15:35:54.912;;18FEF704;FF FF FF FF 11 02 FF FF
15:35:54.915;;18FEF500;FF FF FF FF FF FF FF FF
15:35:54.916;;18FFF504;FF 82 00 FF 00 06 FF 01
15:35:54.928;;18FF0104;00 10 00 35 00 00 00 00
15:35:54.932;;18FEF704;FF FF FF FF 12 02 FF FF
15:35:54.936;;18FFF504;FF 82 00 FF 00 07 FF 01
15:35:54.940;;18FFF403;2A 00 00 00 00 00 00 2A
15:35:54.945;;18FFF003;00 00 00 00 00 00 00 00
15:35:54.948;;18FF0104;00 10 00 35 00 00 00 00
15:35:54.950;;18FFF103;00 00 00 00 00 00 00 FF
15:35:54.952;;18FEF704;FF FF FF FF 13 02 FF FF
15:35:54.955;;18FEF803;FF FF FF FF C0 27 FF FF
15:35:54.956;;18FFF504;FF 82 00 FF 00 07 FF 01
15:35:54.960;;18F00400;FF FF FF FF FF FF FF FF
15:35:54.968;;18FF0104;00 10 00 35 00 00 00 00
15:35:54.972;;18FEF704;FF FF FF FF 13 02 FF FF
15:35:54.976;;18FFF504;FF 82 00 FF 00 07 FF 01
15:35:54.988;;18FF0104;00 10 00 35 00 00 00 00
15:35:54.990;;18FFF403;2A 00 00 00 00 00 00 2A
15:35:54.992;;18FEF704;FF FF FF FF 14 02 FF FF
15:35:54.995;;18FFF003;00 00 00 00 00 00 00 00
15:35:54.996;;18FFF504;FF 82 00 FF 00 07 FF 01
15:35:55.000;;18FFF103;00 00 00 00 00 00 00 FF
15:35:55.005;;18FEF803;FF FF FF FF C0 27 FF FF
15:35:55.008;;18FF0104;00 10 00 35 00 00 00 00
15:35:55.010;;18F00400;FF FF FF FF FF FF FF FF
15:35:55.012;;18FEF704;FF FF FF FF 14 02 FF FF
15:35:55.015;;18FEF700;FF FF FF FF FF FF FF FF
15:35:55.016;;18FFF504;FF 82 00 FF 00 07 FF 01
15:35:55.028;;18FF0104;00 10 00 35 00 00 00 00
15:35:55.032;;18FEF704;FF FF FF FF 14 02 FF FF
15:35:55.036;;18FFF504;FF 82 00 FF 00 07 FF 01
15:35:55.040;;18FFF403;2A 00 00 00 00 00 00 2A
15:35:55.045;;18FFF003;00 00 00 00 00 00 00 00
15:35:55.048;;18FF0104;00 10 00 35 00 00 00 00
15:35:55.050;;18FFF103;00 00 00 00 00 00 00 FF
15:35:55.052;;18FEF704;FF FF FF FF 14 02 FF FF
15:35:55.055;;18FEF803;FF FF FF FF C0 27 FF FF
15:35:55.056;;18FFF504;FF 82 00 FF 00 07 FF 01
15:35:55.060;;18F00400;FF FF FF FF FF FF FF FF
15:35:55.068;;18FF0104;00 10 00 35 00 00 00 00
15:35:55.072;;18FEF704;FF FF FF FF 14 02 FF FF
15:35:55.076;;18FFF504;FF 82 00 FF 00 07 FF 01
15:35:55.088;;18FF0104;00 10 00 35 00 00 00 00
15:35:55.090;;18FFF403;2A 00 00 00 00 00 00 2A
