Bus,No,Time,State,ID (hex),DLC,Data (hex),ASCII
USB-to-CAN V2 compact  CAN-1,368,15:35:55.972,  E   ,18FEF704,8,FF FF FF FF 13 02 FF FF,........
USB-to-CAN V2 compact  CAN-1,369,15:35:55.976,  E   ,18FFF504,8,FF 82 00 FF 00 07 FF 01,........
USB-to-CAN V2 compact  CAN-1,370,15:35:55.988,  E   ,18FF0104,8,00 10 00 09 00 00 00 00,........
USB-to-CAN V2 compact  CAN-1,371,15:35:55.990,  E   ,18FFF403,8,2A 00 00 00 00 00 00 2A,*......*
USB-to-CAN V2 compact  CAN-1,372,15:35:55.992,  E   ,18FEF704,8,FF FF FF FF 13 02 FF FF,........
USB-to-CAN V2 compact  CAN-1,373,15:35:55.995,  E   ,18FFF003,8,00 00 00 00 00 00 00 00,........
USB-to-CAN V2 compact  CAN-1,374,15:35:55.996,  E   ,18FFF504,8,FF 82 00 FF 00 07 FF 01,........
USB-to-CAN V2 compact  CAN-1,375,15:35:55.997,  E   , CFDD680,8,01 00 01 00 F0 30 3F FF,.....0?.
USB-to-CAN V2 compact  CAN-1,376,15:35:55.998,  E   , CFDD780,8,F3 FF FF FF FF FF FF FF,........
USB-to-CAN V2 compact  CAN-1,377,15:35:56.000,  E   ,18FFF103,8,00 00 00 00 00 00 00 FF,........
USB-to-CAN V2 compact  CAN-1,378,15:35:56.005,  E   ,18FEF803,8,FF FF FF FF C0 27 FF FF,.....'..
USB-to-CAN V2 compact  CAN-1,379,15:35:56.008,  E   ,18FF0104,8,00 10 00 09 00 00 00 00,........
USB-to-CAN V2 compact  CAN-1,380,15:35:56.010,  E   ,18F00400,8,00 7D 7D 00 00 07 00 7D,.}}....}
USB-to-CAN V2 compact  CAN-1,381,15:35:56.012,  E   ,18FEF704,8,FF FF FF FF 13 02 FF FF,........
USB-to-CAN V2 compact  CAN-1,382,15:35:56.015,  E   ,18FEF700,8,FF FF FF FF 14 02 12 02,........
USB-to-CAN V2 compact  CAN-1,383,15:35:56.016,  E   ,18FFF504,8,FF 82 00 FF 00 07 FF 01,........
USB-to-CAN V2 compact  CAN-1,384,15:35:56.023,  E   , CFDD680,8,01 00 01 00 F0 30 3F FF,.....0?.
USB-to-CAN V2 compact  CAN-1,385,15:35:56.024,  E   , CFDD780,8,F3 FF FF FF FF FF FF FF,........
USB-to-CAN V2 compact  CAN-1,386,15:35:56.028,  E   ,18FF0104,8,00 10 00 09 00 00 00 00,........
USB-to-CAN V2 compact  CAN-1,387,15:35:56.032,  E   ,18FEF704,8,FF FF FF FF 13 02 FF FF,........
USB-to-CAN V2 compact  CAN-1,388,15:35:56.036,  E   ,18FFF504,8,FF 82 00 FF 00 07 FF 01,........
USB-to-CAN V2 compact  CAN-1,389,15:35:56.040,  E   ,18FFF403,8,2A 00 00 00 00 00 00 2A,*......*
USB-to-CAN V2 compact  CAN-1,390,15:35:56.045,  E   ,18FFF003,8,00 00 00 00 00 00 00 00,........
USB-to-CAN V2 compact  CAN-1,391,15:35:56.048,  E   ,18FF0104,8,00 10 00 09 00 00 00 00,........
USB-to-CAN V2 compact  CAN-1,392,15:35:56.050,  E   ,18FFF103,8,00 00 00 00 00 00 00 FF,........
USB-to-CAN V2 compact  CAN-1,393,15:35:56.051,  E   , CFDD680,8,01 00 01 00 F0 30 3F FF,.....0?.
USB-to-CAN V2 compact  CAN-1,394,15:35:56.051,  E   , CFDD780,8,F3 FF FF FF FF FF FF FF,........
